scope,method,path,operation_id,summary,tags,contract_owner,implementation_owner,display_owner,qa_owner
public,GET,/api/v1/health,get_health,健康检查,System,P5,P5,P4,P9
public,POST,/api/v1/auth/login,login,登录,Auth,P5,P5,P4,P9
public,POST,/api/v1/auth/refresh,refresh_token,刷新令牌,Auth,P5,P5,P4,P9
public,GET,/api/v1/me,get_me,获取当前用户,Auth,P5,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learners,list_learners,学员列表,Learners,P3,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learners/{learner_id},get_learner,学员详情,Learners,P3,P5,P4,P9
public,PATCH,/api/v1/organizations/{organization_id}/learners/{learner_id},update_learner,更新学员档案,Learners,P3,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learners/{learner_id}/profile,get_learner_profile,当前画像,Learners,P3,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learners/{learner_id}/profile/history,list_profile_history,画像历史,Learners,P3,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/learners/{learner_id}/pretests,create_pretest,创建前测,Assessments,P3,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/learners/{learner_id}/pretests/{assessment_id}/submit,submit_pretest,提交前测,Assessments,P3,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/learning-sessions,create_learning_session,创建学习会话,Learning,P5,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id},get_learning_session,学习会话,Learning,P5,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/events,list_session_events,会话事件,Observability,P2,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/stream,stream_session_events,SSE 会话事件,Observability,P2,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/questions,create_question_run,提交专业问题,Learning,P5,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/questions/{question_run_id},get_question_run,专业问答结果,Learning,P5,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/resources,list_session_resources,学习资源列表,Resources,P8,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/resources/{resource_id},get_session_resource,学习资源详情,Resources,P8,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/assessments,list_session_assessments,测评列表,Assessments,P3,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/assessments/{assessment_id},get_session_assessment,测评详情,Assessments,P3,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/assessments/{assessment_id}/attempts,submit_assessment_attempt,提交作答,Assessments,P3,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/attempts/{attempt_id},get_attempt_result,作答结果,Assessments,P3,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/decision,get_session_decision,最终决策,Learning,P5,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/path,get_session_path,学习路径,Learning,P5,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/learning-sessions/{session_id}/human-reviews,create_human_review,创建人工审核,Reviews,P9,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/knowledge-bases,list_knowledge_bases,知识库列表,Knowledge,P7,P5,P4,P9
public,POST,/api/v1/organizations/{organization_id}/knowledge-bases,create_knowledge_base,创建知识库,Knowledge,P7,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id},get_knowledge_base,知识库详情,Knowledge,P7,P5,P4,P9
public,PATCH,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id},update_knowledge_base,更新知识库说明,Knowledge,P7,P5,P4,P9
public,GET,/api/v1/organizations/{organization_id}/knowledge-bases/{knowledge_base_id}/versions,list_knowledge_versions,知识版本列表,Knowledge,P7,P5,P4,P9
